"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"userlog/ClanSeasonRewardPlace2";"Your squadron took <color=@userlogColoredText>2nd</color> place in last season of squadron battles.";"Votre escadron a pris la <color=@userlogColoredText>2ème</color> place dans la dernière saison de batailles d'Escadron.";"La tua squadriglia ha raggiunto il <color=@userlogColoredText>2°</color> posto nell'ultima stagione delle battaglie tra squadriglie.";"Deine Kampfgruppe hat in der letzten Saison der Kampfgruppen-Gefechte den <color=@userlogColoredText>2.</color> Platz erreicht.";"Su escuadrón alcanzó el <color=@userlogColoredText>2do</color> lugar en la última temporada de batallas de escuadrón.";"Ваш полк занял <color=@userlogColoredText>второе</color> место в прошедшем сезоне полковых боёв.";"Twój Dywizjon zajął <color=@userlogColoredText>drugie</color> miejsce w ostatnim sezonie Bitew Dywizjonów.";"Tvůj svaz získal <color=@userlogColoredText>2.</color> místo v minulé sezóně Svazových bitev";"Filonuz, filo savaşları sezonunda <color=@userlogColoredText>2.</color> oldu.";"你\t的\t联\t队\t在\t上\t赛\t季\t的\t联\t队\t战\t比\t赛\t中\t获\t得\t了\t<color=@userlogColoredText>\t亚\t军\t</color>。";"前回の\t部隊戦では <color=@userlogColoredText>2位</color> を\t獲得しました。";"Seu esquadrão obteve o <color=@userlogColoredText>2º</color> lugar na última temporada de batalhas de esquadrão.";"Ваш полк зайняв <color=@userlogColoredText>Друге</color> місце в минулому сезоні полкових боїв.";"Vaša eskadrila je uzela <color=@userlogColoredText>drugo</color> mesto u zadnjoj sezoni klanskih bitaka.";"A századod <color=@userlogColoredText>2.</color> helyezést ért el a századcsaták legutóbbi szezonjában.";"비행대가 지난 시즌 비행대 전투에서 <color=@userlogColoredText>2위</color>를 달성했습니다.";"Ваш полк заняў <color=@userlogColoredText>другое</color> месца ў мінулым сезоне палкавых баёў.";"Compania ta a obținut locul <color=@userlogColoredText>2</color> în ultimul sezon de lupte între companii.";"你\t的\t聯\t隊\t在\t上\t個\t賽\t季\t的\t聯\t隊\t戰\t中\t獲\t得\t了 <color=@userlogColoredText>\t第\t二\t名\t</color>";"你\t的\t联\t队\t在\t上\t赛\t季\t的\t联\t队\t战\t比\t赛\t中\t获\t得\t了\t<color=@userlogColoredText>\t亚\t军\t</color>。";"Quân đoàn của bạn đã giành vị trí <color=@userlogColoredText>thứ 2</color> trong mùa giải đấu quân đoàn vừa qua.";;
"userlog/ClanSeasonRewardPlace3";"Your squadron took <color=@userlogColoredText>3rd</color> place in last season of squadron battles.";"Votre escadron a pris la <color=@userlogColoredText>3ème</color> place dans la dernière saison de batailles d'Escadron.";"La tua squadriglia ha raggiunto il <color=@userlogColoredText>3°</color> posto nell'ultima stagione delle battaglie tra squadriglie.";"Deine Kampfgruppe hat in der letzten Saison der Kampfgruppen-Gefechte den <color=@userlogColoredText>3.</color> Platz erreicht.";"Su escuadrón alcanzó el <color=@userlogColoredText>3er</color> lugar en la última temporada de batallas de escuadrón.";"Ваш полк занял <color=@userlogColoredText>третье</color> место в прошедшем сезоне полковых боёв.";"Twój Dywizjon zajął <color=@userlogColoredText>trzecie</color> miejsce w ostatnim sezonie Bitew Dywizjonów.";"Tvůj svaz získal <color=@userlogColoredText>3.</color> místo v minulé sezóně Svazových bitev";"Filonuz, filo savaşları sezonunda <color=@userlogColoredText>3.</color> oldu.";"你\t的\t联\t队\t在\t上\t赛\t季\t的\t联\t队\t战\t比\t赛\t中\t获\t得\t了\t<color=@userlogColoredText>\t季\t军\t</color>。";"前回の\t部隊\tバトルでは <color=@userlogColoredText>3位</color> を\t獲得しました。";"Seu esquadrão obteve o <color=@userlogColoredText>3º</color> lugar na última temporada de batalhas de esquadrão.";"Ваш полк зайняв <color=@userlogColoredText>Третє</color> місце в минулому сезоні полкових боїв.";"Vaša eskadrila je uzela <color=@userlogColoredText>treće</color> mesto u zadnjoj sezoni klanskih bitaka.";"A századod <color=@userlogColoredText>3.</color> helyezést ért el a századcsaták legutóbbi szezonjában.";"비행대가 지난 시즌 비행대 전투에서 <color=@userlogColoredText>3위</color>를 달성했습니다.";"Ваш полк заняў <color=@userlogColoredText>трэцяе</color> месца ў мінулым сезоне палкавых баёў.";"Compania ta a obținut locul <color=@userlogColoredText>3</color> în ultimul sezon de lupte între companii.";"你\t的\t聯\t隊\t在\t上\t個\t賽\t季\t的\t聯\t隊\t戰\t中\t獲\t得\t了 <color=@userlogColoredText>\t第\t三\t名\t</color>";"你\t的\t联\t队\t在\t上\t赛\t季\t的\t联\t队\t战\t比\t赛\t中\t获\t得\t了\t<color=@userlogColoredText>\t季\t军\t</color>。";"Quân đoàn của bạn đã giành vị trí <color=@userlogColoredText>thứ 3</color> trong mùa giải đấu quân đoàn vừa qua.";;
"userlog/ClanSeasonRewardPlaceN";"Your squadron took <color=@userlogColoredText>{place}th</color> place in last season of squadron battles.";"Votre escadron a pris la <color=@userlogColoredText>{place}ème</color> place dans la dernière saison de batailles d’Escadron.";"La tua squadriglia ha raggiunto il <color=@userlogColoredText>{place}°</color> posto nell'ultima stagione delle battaglie tra squadriglie.";"Deine Kampfgruppe hat in der letzten Saison der Kampfgruppen-Gefechte den <color=@userlogColoredText>{place}.</color> Platz erreicht.";"Su escuadrón alcanzó el <color=@userlogColoredText>{place}°</color> lugar en la última temporada de batallas de escuadrón.";"Ваш полк занял <color=@userlogColoredText>{place}е</color> место в прошедшем сезоне полковых боёв.";"Twój Dywizjon zajął <color=@userlogColoredText>{place}</color> miejsce w ostatnim sezonie Bitew Dywizjonów. ";"Tvůj svaz získal <color=@userlogColoredText>{place}</color> místo v minulé sezóně Svazových bitev";"Filonuz, filo savaşları sezonunda <color=@userlogColoredText>{place}.</color> oldu.";"你\t的\t联\t队\t在\t上\t赛\t季\t的\t联\t队\t战\t比\t赛\t中\t获\t得\t了\t<color=@userlogColoredText>\t第 {place} 名\t</color>。";"前回の\t部隊戦では<color=@userlogColoredText>{place}位</color>を\t獲得しました。";"Seu esquadrão obteve <color=@userlogColoredText>{place}th</color> lugar na última temporada de batalhas de esquadrão.";"Ваш полк зайняв <color=@userlogColoredText>{place}е</color> місце в минулому сезоні полкових боїв.";"Vaša eskadrila je uzela <color=@userlogColoredText>{place}</color> mesto u zadnjoj sezoni klanskih bitaka.";"A századod <color=@userlogColoredText>{place}.</color> helyezést ért el a századcsaták legutóbbi szezonjában.";"비행대가 지난 시즌 비행대 전투에서 <color=@userlogColoredText>{place}위</color>를 달성했습니다.";"Ваш полк заняў <color=@userlogColoredText>{place}-е</color> месца ў мінулым сезоне палкавых баёў.";"Compania ta a obținut locul <color=@userlogColoredText>{place}</color> în ultimul sezon de lupte între companii.";"你\t的\t聯\t隊\t在\t上\t個\t賽\t季\t的\t聯\t隊\t戰\t中\t獲\t得\t了 <color=@userlogColoredText>\t第\t{place}\t名\t</color>";"你\t的\t联\t队\t在\t上\t赛\t季\t的\t联\t队\t战\t比\t赛\t中\t获\t得\t了\t<color=@userlogColoredText>\t第 {place} 名\t</color>。";"Quân đoàn của bạn đã giành vị trí <color=@userlogColoredText>thứ {place}</color> trong mùa giải đấu quân đoàn vừa qua.";;
"userLog/clanDuelRewardRank";"Rank:";"Rang : ";"Rango:";"Rang:";"Puesto:";"Ранг:";"Stopień:";"Úroveň";"Rütbe:";"排\t名：";"ランク:";"Nível:";"Ранг:";"Rang:";"Helyezés:";"순위:";"Ранг:";"Rang:";"排\t名：";"排\t名：";"Cấp bậc:";;
"userLog/clanDuelRewardClanPlace";"Place:";"Place:";"Posizione:";"Platz:";"Lugar:";"Место:";"Miejsce:";"Místo:";"Yer:";"排\t名：";"順位";"Lugar:";"Місце:";"Mesto:";"Helyezés:";"순위:";"Месца:";"Loc:";"名\t次:";"排\t名：";"Hạng:";;
"userLog/clanDuelRewardPlace";"Your position in the squadron:";"Votre position dans l'escadron :";"La tua posizione nel clan:";"Deine Position in der Kampfgruppe:";"Su posición en el escuadrón:";"Ваша позиция среди членов полка:";"Twoja pozycja w eskadrze:";"Tvá pozice ve svazu:";"Filodaki pozisyonun:";"你\t在\t联\t队\t的\t排\t名：";"部隊内でのあなたの\t順位:";"A sua posição no esquadrão:";"Ваша позиція серед членів полку :";"Vaša pozicija u eskadrili:";"Helyezésed a században:";"비행대에서 당신의 위치:";"Вашае месца ў палку:";"Poziția ta în companie:";"你\t在\t聯\t隊\t的\t排\t名:";"你\t在\t联\t队\t的\t排\t名：";"Vị trí của bạn trong sư đoàn:";;
"userLog/clanDuelRewardEqualClanPlaces";"Other squadrons having equal rating:";"Autres escadrons ayant une capacité égale :";"Gli altri clan aventi lo stesso punteggio:";"Andere Kampfgruppen mit ähnlichem Gefechtswertung:";"Otros escuadrones con igual rating:";"Другие полки с таким же рейтингом:";"Inne dywizjony o równej ocenie:";"Svazy s podobným hodnocením:";"Eşit dereceye sahip diğer filolar:";"其\t余\t联\t队\t评\t分\t相\t同：";"同じ\tレートを\t持つ\t他の\t部隊:";"Outros esquadrões com igual classificação:";"Інші полки з таким же рейтингом:";"Ostale eskadrile koje imaju isti rejting:";"Más századok azonos értékeléssel:";"같은 평가 지수를 가진 다른 비행대:";"Іншыя палкі з такім самым рэйтынгам:";"Alte companii cu cotare asemănătoare:";"其\t他\t聯\t隊\t評\t分\t相\t同:";"其\t余\t联\t队\t评\t分\t相\t同：";"Sư đoàn khác ngang bằng thứ hạng:";;
"userLog/clanDuelRewardEqualPlaces";"Other squadron members having equal rating:";"Autres membres de l'Escadron ayant une capacité égale :";"Gli altri membri del clan aventi lo stesso punteggio:";"Andere Mitglieder mit ähnlichem Gefechtswertung:";"Otros miembros del escuadrón con la misma puntuación:";"Другие члены полка с таким же рейтингом:";"Inni członkowie Eskadry o takiej samej ocenie:";"Členové svazu s podobným hodnocením:";"Eşit dereceye sahip diğer filo üyeleri:";"其\t余\t队\t员\t评\t分\t相\t同：";"同じ\tレートを\t持つ\t他の\t部隊\tメンバー:";"Outros membros do esquadrão com igual classificação:";"Інші члени полку з таким же рейтингом:";"Ostali članovi eskadrile koji imaju jednak rejting:";"Más századtagok azonos értékeléssel:";"같은 평가 지수를 가진 다른 비행대원:";"Вашы аднапалчане з такім самым рэйтынгам:";"Alți membri ai companiei cu cotare asemănătoare:";"其\t他\t聯\t隊\t成\t員\t評\t分\t相\t同:";"其\t余\t队\t员\t评\t分\t相\t同：";"Thành viên sư đoàn khác ngang bằng thứ hạng:";;
"userLog/clanDuelRewardClanRating";"Squadron rating:";"Evaluation de l'escadron :";"Classifica clan:";"Kampfgruppen-Gefechtswertung:";"Puntuación del escuadrón:";"Рейтинг полка:";"Ocena Eskadry:";"Hodnocení svazu:";"Filo derecesi:";"联\t队\t评\t分：";"部隊\tレート:";"Rating do esquadrão:";"Рейтинг полку:";"Rejting eskadrile:";"Század értékelése:";"비행대 평가 지수:";"Рэйтынг палка:";"Cotare companie:";"聯\t隊\t評\t分:";"联\t队\t评\t分：";"Thứ hạng quân đoàn:";;
"userLog/clanDuelRewardRating";"Your duel rating:";"Votre cote de duel :";"Il tuo punteggio di duello:";"Deine Duellwertung:";"Su puntuación en duelo:";"Ваш дуэльный рейтинг:";"Twoja ocena pojedynkowa:";"Tvé soubojové hodnocení:";"Düello derecen:";"个\t人\t评\t分：";"あなたの\t対決\tレート:";"O seu rating de duelo:";"Ваш дуельний рейтинг:";"Vaš rejting za duelovanje:";"Értékelésed:";"당신의 대결 지수:";"Ваш дуэльны рэйтынг:";"Cotarea ta în dueluri:";"個\t人\t評\t分:";"个\t人\t评\t分：";"Tỷ lệ đối đầu:";;
"encyclopedia/no_unit_description";"Description will be ready soon.";"Description à venir.";"La descrizione sarà presto disponibile.";"Dieser Eintrag wird in Kürze verfügbar sein.";"La descripción estará disponible pronto.";"Описание пока не готово.";"Opis będzie gotowy wkrótce.";"Popis není připraven";"Açıklama yakında hazır olacak.";"简\t介\t尚\t未\t准\t备\t好。";"解説は\t近日中に\t追加されます。";"Descrição disponível em breve.";"Опис поки що не готовий.";"Opis će uskoro biti završen.";"A leírás hamarosan elérhető lesz.";"설명이 준비중입니다.";"Апісанне будзе хутка гатова.";"Descrierea va fi disponibilă în curând.";"簡\t介\t尚\t未\t準\t備\t好。";"简\t介\t尚\t未\t准\t备\t好。";"Mô tả sẽ có trong thời gian tới.";;
"profile/wiki_link";"See wiki.warthunder.com for more detailed description";"Rendez-vous sur wiki.warthunder.com pour une description plus détaillée";"Guarda wiki.warthunder.com per una descrizione più dettagliata";"Besuche wiki.warthunder.com für eine ausführlichere Beschreibung";"Vea wiki.warthunder.com para una descripción más detallada";"Более подробно посмотреть на wiki.warthunder.com";"Wejdź na wiki.warthunder.com, aby przeczytać dokładniejszy opis";"Pro podrobnější informace navštivte wiki.warthunder.com";"Daha detaylı bilgi için wiki.warthunder.com adresine bakınız";"访\t问 wiki.warthunder.com 可\t获\t得\t更\t详\t尽\t的\t资\t料\t介\t绍";"詳しい\t説明については wiki.warthunder.com を\t参照してください";"Consulte wiki.warthunder.com para uma descrição mais detalhada";"Детальніше подивитися на wiki.warthunder.com";"Pogledajte wiki.warthunder.com za detaljniji opis";"A részletes leírásért látogass el a wiki.warthunder.com oldalra";"자세한 내용은 wiki.warthunder.com 에서 확인하세요.";"Падрабязнейшае апісанне глядзіце на wiki.warthunder.com";"Vezi wiki.warthunder.com pentru o descriere mai detaliată";"訪\t問 wiki.warthunder.com 可\t獲\t得\t更\t詳\t盡\t的\t資\t料\t介\t紹";"访\t问 wiki.warthunder.com 可\t获\t得\t更\t详\t尽\t的\t资\t料\t介\t绍";"Bạn có thể thảo luận thêm các thông tin tại diễn đàn và Facebook";;
"profile/wiki_matchmaking";"Learn more about Battle Rating (BR)";"En savoir plus sur le Battle Rating (BR)";"Impara altro sul Livello di Combattimento (LC)";"Lerne mehr über Kampfeinstufungen [BR]";"Aprender más sobre Rating de Batalla (BR)";"Подробнее о Боевом рейтинге (БР)";"Dowiedz się więcej o Klasyfikacji Bitewnej (KB)";"Více informací o Battle Ratingu (BR)";"Muharebe puanı (Battle Rating, BR) hakkında daha fazla bilgi";"查\t看\t分\t房\t权\t重\t的\t工\t作\t原\t理";"バトルレートについてさらに\t学ぶ";"Aprenda mais sobre o Battle rating (BR)";"Детальніше про Бойовий рейтинг (БР)";"Learn more about Battle Rating (BR)";"További információ a harci minősítésről (BR)";"배틀 레이팅(BR) 에 대해 더 알아보기";"Падрабязней аб Баявым рэйтынгу (БР)";"Află mai multe despre nivelul de luptă (NL)";"學\t習\t更\t多\t關\t於\t分\t房\t權\t重 (BR) 的\t原\t理";"查\t看\t分\t房\t权\t重\t的\t工\t作\t原\t理";"Tìm hiểu thêm về Chỉ số Chiến đấu (BR)";;
"mainmenu/server";"Server";"Serveur";"Server";"Server";"Servidor";"Сервер";"Serwer";"Server";"Sunucu";"服\t务\t器";"サーバー";"Servidor";"Сервер";"Server";"Szerver";"서버";"Сервер";"Server";"伺\t服\t器";"服\t务\t器";"Máy chủ";;
